,Property,Value,Group,Cohort,Level,Origin
5023,density,-0.341,control,Yang_2020,phylum,-0.341
5024,assortativity,0.476,control,Yang_2020,phylum,0.476
5025,transitivity,0.3,control,Yang_2020,phylum,0.3
5026,algebraic_connectivity,1.0,control,Yang_2020,phylum,1.0
5027,density,-0.515,control,Yang_2020,phylum,-0.515
5028,assortativity,0.667,control,Yang_2020,phylum,0.667
5029,transitivity,0.5,control,Yang_2020,phylum,0.5
5030,algebraic_connectivity,0.586,control,Yang_2020,phylum,0.586
5031,density,-0.355,control,Yang_2020,phylum,-0.355
5032,assortativity,0.476,CRC,Yang_2020,phylum,0.476
5033,transitivity,0.25,CRC,Yang_2020,phylum,0.25
5034,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
5035,density,-0.482,CRC,Yang_2020,phylum,-0.482
5036,assortativity,0.476,CRC,Yang_2020,phylum,0.476
5037,transitivity,0.474,CRC,Yang_2020,phylum,0.474
5038,algebraic_connectivity,0.687,CRC,Yang_2020,phylum,0.687
5039,density,-0.183,CRC,Yang_2020,phylum,-0.183
5040,assortativity,0.667,CRC,Yang_2020,phylum,0.667
5041,transitivity,0.429,CRC,Yang_2020,phylum,0.429
5042,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
5043,density,-0.096,CRC,Yang_2020,phylum,-0.096
5044,assortativity,0.476,CRC,Yang_2020,phylum,0.476
5045,transitivity,0.2,CRC,Yang_2020,phylum,0.2
5046,algebraic_connectivity,0.727,CRC,Yang_2020,phylum,0.727
5047,density,-0.517,CRC,Yang_2020,phylum,-0.517
5048,assortativity,0.667,CRC,Yang_2020,phylum,0.667
5049,transitivity,0.3,CRC,Yang_2020,phylum,0.3
5050,algebraic_connectivity,0.631,CRC,Yang_2020,phylum,0.631
5051,density,-0.341,CRC,Yang_2020,phylum,-0.341
5052,assortativity,0.357,CRC,Yang_2020,phylum,0.357
5053,transitivity,0.4,CRC,Yang_2020,phylum,0.4
5054,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
5055,density,-0.228,CRC,Yang_2020,phylum,-0.228
5056,assortativity,0.667,CRC,Yang_2020,phylum,0.667
5057,transitivity,0.429,CRC,Yang_2020,phylum,0.429
5058,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
5059,density,-0.096,CRC,Yang_2020,phylum,-0.096
