,Events,Cohort,Group,Bases
475,85,WirbelJ_2018,CRC,8204655954.0
476,84,WirbelJ_2018,CRC,8204655954.0
477,214,WirbelJ_2018,control,3817718694.0
478,157,WirbelJ_2018,control,4480077249.0
479,214,WirbelJ_2018,control,3707663709.0
480,576,WirbelJ_2018,control,2558326096.0
481,289,WirbelJ_2018,control,4433617601.0
482,266,WirbelJ_2018,control,3935858548.0
483,141,WirbelJ_2018,CRC,9269088380.0
484,140,WirbelJ_2018,CRC,9269088380.0
485,143,WirbelJ_2018,CRC,9269088380.0
486,141,WirbelJ_2018,CRC,9269088380.0
487,155,WirbelJ_2018,CRC,8721310850.0
488,151,WirbelJ_2018,CRC,8721310850.0
489,150,WirbelJ_2018,CRC,8721310850.0
490,154,WirbelJ_2018,CRC,8721310850.0
491,238,WirbelJ_2018,control,5716884869.0
492,260,WirbelJ_2018,control,3988980619.0
493,250,WirbelJ_2018,control,3111604953.0
494,260,WirbelJ_2018,control,3957955624.0
495,247,WirbelJ_2018,control,3219403664.0
496,180,WirbelJ_2018,CRC,9343789168.0
497,158,WirbelJ_2018,CRC,9343789168.0
498,172,WirbelJ_2018,CRC,9343789168.0
499,158,WirbelJ_2018,CRC,9343789168.0
500,80,WirbelJ_2018,CRC,7834201797.0
501,82,WirbelJ_2018,CRC,7834201797.0
502,77,WirbelJ_2018,CRC,7834201797.0
503,69,WirbelJ_2018,CRC,7834201797.0
504,186,WirbelJ_2018,CRC,3459725269.0
505,220,WirbelJ_2018,control,3900420267.0
506,189,WirbelJ_2018,control,5572421986.0
507,144,WirbelJ_2018,control,2494583830.0
508,200,WirbelJ_2018,CRC,3179743231.0
509,92,WirbelJ_2018,CRC,7622249125.0
510,100,WirbelJ_2018,CRC,7622249125.0
511,94,WirbelJ_2018,CRC,7622249125.0
512,97,WirbelJ_2018,CRC,7622249125.0
513,134,WirbelJ_2018,control,3805648978.0
514,77,WirbelJ_2018,CRC,7178248892.0
515,64,WirbelJ_2018,CRC,7178248892.0
516,51,WirbelJ_2018,CRC,7178248892.0
517,55,WirbelJ_2018,CRC,7178248892.0
518,318,WirbelJ_2018,control,3521399599.0
519,380,WirbelJ_2018,control,5875509377.0
520,97,WirbelJ_2018,control,2518357317.0
521,101,WirbelJ_2018,CRC,2993424790.0
522,260,WirbelJ_2018,control,4504027361.0
523,175,WirbelJ_2018,CRC,2649826307.0
524,205,WirbelJ_2018,control,1947067979.0
525,304,WirbelJ_2018,control,3963017409.0
526,364,WirbelJ_2018,control,5152729425.0
527,382,WirbelJ_2018,CRC,7093908496.0
528,359,WirbelJ_2018,CRC,7093908496.0
529,368,WirbelJ_2018,CRC,7093908496.0
530,358,WirbelJ_2018,CRC,7093908496.0
531,175,WirbelJ_2018,control,4866288034.0
532,153,WirbelJ_2018,control,4623164854.0
533,41,WirbelJ_2018,CRC,7585743831.0
534,35,WirbelJ_2018,CRC,7585743831.0
535,37,WirbelJ_2018,CRC,7585743831.0
536,31,WirbelJ_2018,CRC,7585743831.0
537,262,WirbelJ_2018,control,6512242541.0
538,333,WirbelJ_2018,CRC,4884486871.0
539,279,WirbelJ_2018,CRC,4884486871.0
540,307,WirbelJ_2018,CRC,4884486871.0
541,277,WirbelJ_2018,CRC,4884486871.0
542,74,WirbelJ_2018,CRC,7981205221.0
543,78,WirbelJ_2018,CRC,7981205221.0
544,69,WirbelJ_2018,CRC,7981205221.0
