,Length,mm
1551,2604,mm
1552,112475,mm
1553,1577,mm
1554,1256,mm
1555,4292,mm
1556,4954,mm
1557,2468,mm
1558,2730,mm
1559,108101,mm
1560,1395,mm
1561,1421,mm
1562,21973,mm
1563,1682,mm
1564,12554,mm
1565,1600,mm
1566,1258,mm
1567,1494,mm
1568,2531,mm
1569,13139,mm
1570,1753,mm
1571,5899,mm
1572,1640,mm
1573,1239,mm
1574,1390,mm
1575,1917,mm
1576,1390,mm
1577,2502,mm
1578,939,mm
1579,1129,mm
1580,1537,mm
1581,1653,mm
1582,2520,mm
1583,939,mm
1584,1392,mm
1585,1391,mm
1586,37688,mm
1587,1377,mm
1588,1176,mm
1589,1175,mm
1590,1173,mm
1591,1745,mm
1592,621,mm
1593,1584,mm
1594,1584,mm
1595,1584,mm
1596,1586,mm
1597,1571,mm
1598,1584,mm
1599,1584,mm
1600,1586,mm
1601,1584,mm
1602,1415,mm
1603,1584,mm
1604,1584,mm
1605,1583,mm
1606,1586,mm
1607,1588,mm
1608,1595,mm
1609,1592,mm
1610,1318,mm
1611,1461,mm
1612,1418,mm
1613,1656,mm
1614,1811,mm
1615,1633,mm
1616,45220,mm
1617,1581,mm
1618,1616,mm
1619,883,mm
1620,2833,mm
1621,1339,mm
1622,1156,mm
1623,1614,mm
1624,1409,mm
1625,1611,mm
1626,1927,mm
1627,1316,mm
1628,1936,mm
1629,1933,mm
1630,1356,mm
1631,1349,mm
1632,1356,mm
1633,1354,mm
1634,1317,mm
1635,1181,mm
1636,1855,mm
1637,2718,mm
1638,1765,mm
1639,2730,mm
1640,1232,mm
1641,1766,mm
1642,1939,mm
1643,1956,mm
1644,1956,mm
1645,1249,mm
1646,16082,mm
1647,1017,mm
1648,1094,mm
1649,1031,mm
1650,947,mm
1651,943,mm
1652,2595,mm
1653,1093,mm
1654,1497,mm
1655,1093,mm
1656,1371,mm
1657,1534,mm
1658,1508,mm
1659,13144,mm
1660,941,mm
1661,1660,mm
1662,8824,mm
1663,950,mm
1664,1075,mm
1665,1637,mm
1666,1095,mm
1667,1094,mm
1668,1093,mm
1669,947,mm
1670,1724,mm
1671,4294,mm
1672,728,mm
1673,2600,mm
1674,1723,mm
1675,1353,mm
